Mean1,Variance1,Skewness1,Kurtosis1,Contrast1,Entropy1,Energy1,Homo1,Corre1,Mean2,Variance2,Skewness2,Kurtosis2,Contrast2,Entropy2,Energy2,Homo2,Corre2,Mean3,Variance3,Skewness3,Kurtosis3,Contrast3,Entropy3,Energy3,Homo13,Corre3,Class
42.57548523,84.3939709,1.818592048,1.769790338,1.487739291,3758.263301,0.705035434,0.874618872,0.736547904,33.7822113,71.03950116,2.074232204,3.080386077,1.702489264,3086.148835,0.723504286,0.862452979,0.694697584,165.9315948,93.78873063,-1.153279645,-0.56084094,1.700702753,5355.555437,0.647230733,0.883685238,0.69602473,0
38.77000427,76.92062629,1.73731573,1.567087956,1.437075805,3021.853137,0.724936193,0.879543565,0.745009127,25.88661194,66.77637437,2.659141437,5.847494772,1.283262801,3085.877691,0.78712666,0.888775534,0.654552763,176.7826996,93.39572763,-1.331465442,-0.174071415,1.530922895,4920.202498,0.683798282,0.890205055,0.718383515,0
38.60163879,77.19700419,1.789479433,1.802143328,1.422725995,3114.771236,0.724724075,0.878941322,0.739049121,26.3815918,66.11274143,2.582486907,5.513467835,1.345431982,3022.366347,0.779853386,0.88474851,0.65482998,176.0383301,93.35498533,-1.322489486,-0.190441903,1.529325477,5067.1237,0.680874211,0.890795395,0.709722433,0
39.00271606,78.12506714,1.830753077,1.978518611,1.437267869,3230.754724,0.71947081,0.87557407,0.73572505,28.05123901,67.04591868,2.439674839,4.790042164,1.436625369,3099.517001,0.764681963,0.876564722,0.655793496,172.5186005,92.91605677,-1.277551395,-0.284352163,1.573160652,5155.23702,0.669170861,0.887518992,0.701879582,0
40.50436401,80.0674502,1.811363332,1.88324158,1.455690756,3434.302134,0.709965126,0.87149174,0.732536207,29.8253479,68.05877736,2.301749301,4.118832876,1.530768174,3100.030057,0.749194975,0.868773171,0.665895896,169.0535278,93.24279088,-1.215545782,-0.421124267,1.606868968,5431.636237,0.656139859,0.883290751,0.688091287,0
40.39849854,80.76674465,1.855941833,2.023431488,1.453639862,3433.129388,0.711986559,0.873599207,0.73724037,30.82858276,68.5637915,2.226475045,3.768571697,1.583715795,3058.104972,0.741155912,0.865670881,0.67524523,168.2134094,93.23799046,-1.199529157,-0.450327168,1.637887178,5328.529201,0.653809382,0.885285817,0.693981638,0
94.54670715,99.83486465,0.502758465,-1.264355288,2.365507909,15462.16343,0.309657831,0.464110206,0.22582867,111.4115753,111.8847844,0.370889647,-1.661359567,2.805214942,19696.37354,0.31983205,0.43273017,0.212175266,118.7431335,88.95484893,0.002836658,-1.211649299,2.667697313,14202.93471,0.275921993,0.477755492,0.105021871,0
41.73103333,82.97777213,1.835250273,1.879458023,1.446838969,3674.389769,0.707001882,0.872144092,0.733561095,32.12600708,69.10562358,2.124587937,3.299617729,1.651911891,3073.784369,0.731161428,0.86171217,0.67867,166.419632,93.82725192,-1.158252747,-0.542390947,1.620893402,5524.384464,0.647639329,0.883908807,0.68670291,0
89.81263733,98.38924648,0.559093434,-1.194363424,2.371263581,15005.09395,0.324900045,0.476128339,0.226235242,109.740387,112.7275063,0.392376864,-1.662430959,2.710953662,19735.39069,0.331007486,0.451570765,0.222651511,122.7523193,87.67030769,-0.06859463,-1.160583704,2.760666967,13722.65354,0.278258223,0.484648141,0.109890138,0
84.97221375,94.89230815,0.620042334,-1.044073548,2.381169675,14166.12399,0.329432351,0.4714192,0.214519641,121.9584198,112.7434636,0.217205441,-1.770245984,2.769891062,19615.60588,0.319655586,0.450453869,0.22762717,130.0215759,88.37230556,-0.107557181,-1.18239666,2.914872397,13906.82563,0.260509158,0.462204824,0.112134174,0
87.11837769,96.13164043,0.590537518,-1.115903021,2.534591315,14756.92284,0.322687128,0.468973943,0.20311773,108.5907898,112.2100711,0.412795793,-1.63841275,2.714270213,19571.41071,0.332759565,0.447994787,0.221855523,134.8522797,87.99416184,-0.492853767,-0.971369991,2.401230306,13282.63359,0.430849315,0.621781904,0.144964213,0
88.75128174,96.98819747,0.59953777,-1.102263581,2.584977186,15141.56912,0.311695088,0.455513148,0.19660678,106.7975311,110.7764608,0.444220099,-1.584455045,2.779255246,19386.96389,0.322274371,0.431799976,0.209127437,128.5213165,90.03255588,-0.320147853,-1.113952568,2.393826153,14321.38349,0.40542744,0.59991109,0.11891307,0
86.75392151,98.43477555,0.645796361,-1.084122483,2.413843637,15359.44133,0.331893978,0.472830542,0.208882998,108.0762482,109.1536328,0.429612499,-1.560746297,2.870802634,18909.80199,0.308982048,0.424284412,0.205497907,132.6106873,89.56117017,-0.380372732,-1.038894061,2.365154583,14047.67034,0.421743481,0.615974583,0.127242276,0
42.01989746,83.99052994,1.83654416,1.838208664,1.474448839,3758.950725,0.708056883,0.874944582,0.73396443,33.6264801,70.88045158,2.081025323,3.112732418,1.694956018,3031.055758,0.725145896,0.862728288,0.698801197,166.7943268,93.33729086,-1.175968711,-0.503803027,1.70181008,5389.745551,0.648268798,0.883291083,0.691121875,0
83.89031982,96.35324477,0.701871949,-0.95931113,2.478003552,14381.76798,0.326252211,0.463685085,0.226798373,109.130249,110.6049863,0.410006064,-1.60711079,2.829796964,19770.65158,0.314657539,0.430066455,0.191228838,118.8152618,91.07892802,0.078176776,-1.209905576,2.875673816,14977.0493,0.268837065,0.468569987,0.099905734,0
80.23420715,93.8512962,0.730507491,-0.882615982,2.477796087,13755.93735,0.331989651,0.461916501,0.220571232,111.9407806,111.95277,0.363728454,-1.667177963,2.698545228,20095.14779,0.319865705,0.442904965,0.197631676,124.5265656,90.37763247,-0.001377607,-1.201703798,2.927544722,14668.3053,0.263903508,0.464106295,0.105038105,0
86.92256165,98.63398406,0.659311727,-1.060970391,2.42890595,14790.30731,0.332944845,0.482377037,0.241115212,108.1025848,109.0566092,0.429227718,-1.558807951,2.868587782,18684.79962,0.307684475,0.431933252,0.213773096,131.1566315,90.82088921,-0.331888819,-1.113185433,2.414104963,13997.10308,0.41465724,0.615585211,0.154523501,0
41.65324402,82.05096089,1.819531848,1.861958828,1.523215885,3592.886069,0.701856089,0.86770723,0.733549753,32.16267395,70.25205352,2.18220779,3.548592312,1.632713937,3102.567056,0.732150419,0.862026142,0.686164372,166.3171387,93.61574767,-1.162414166,-0.537488348,1.709049388,5477.394768,0.644026547,0.880357585,0.68796123,0
85.94581604,99.06530385,0.678776481,-1.048602517,2.36549608,14211.72172,0.344064514,0.494342885,0.277136569,105.2688751,108.7164602,0.470842314,-1.516551794,2.850252406,18635.89939,0.313510948,0.443022451,0.210979193,133.5594635,90.33715283,-0.426273922,-1.084779947,2.38320777,13221.50527,0.433603956,0.635629326,0.192787951,0
81.68754578,97.74856066,0.739655772,-0.951030293,2.319422235,14209.2426,0.35877721,0.497345575,0.257699186,103.0618134,108.8640615,0.504216419,-1.491325973,2.786535719,19000.07267,0.320207868,0.443451051,0.197889209,138.4047089,89.17194096,-0.52186896,-0.962378037,2.359885981,12990.18511,0.451227695,0.647039668,0.186070632,0
78.1655426,94.71720565,0.764491541,-0.860131135,2.317343237,13375.61694,0.365234035,0.49683327,0.255786678,105.8692017,111.6042601,0.454563889,-1.591731984,2.630190519,19816.36691,0.334101457,0.464020684,0.204168222,127.4429779,87.89408473,-0.102213174,-1.093737543,2.823259977,13103.99887,0.289766352,0.495331088,0.154912825,0
83.04927063,97.56346044,0.686865198,-1.024982964,2.320687888,14019.31711,0.359854887,0.507396383,0.264784293,104.1233521,109.9468023,0.485596719,-1.530457862,2.706049275,18825.79937,0.330385689,0.462239984,0.220783804,141.1331635,88.11150361,-0.619982169,-0.867804212,2.310586508,12274.39069,0.46748232,0.664739479,0.212338561,0
